花童(白面),十歲以下的幼童，花童是生角中年紀最小的角色，一張童稚的臉龐上梳著一兩 條小辮子，穿著花俏的孩童裝，造型天真活潑，無憂無慮，是個人見人愛的角色。,1610103
文生(肉面),青年男性，文生在許多布袋戲中都扮演著舉足輕重的角色，文生大多屬於正派角色，長得清秀端正，眉細眼亮，神色從容自在，文質彬彬，在戲中，他可能是大至一個國家小至一個家族興盛發達或腐朽敗亡的關鍵人物。,1610203
老生 / 鬍文,中年男性，鬍文的個性相對於鬚文會比較剛強，甚至暴躁，在演出中，可以明顯區分人物個性。,1610905
白闊,生類行當中年紀最大者，白髮蒼蒼，牙齒掉得所剩無幾，大都飾演笑口常開，有時還會搞笑的老好人。,1611503
老生/鬚文,中年男性，出生書香門第飽讀詩書的鬚文是布袋戲中的幸運角色，飽滿的天庭，兩道柳葉眉，在歷經社會時間的薰陶琢磨，鬚文表現出來的就是一副溫文儒雅，鋒芒內斂的正人君子，例如三國演義中的劉備就是。,161a0004
花童(肉面),十歲以下的幼童，花童是生角中年紀最小的角色，一張童稚的臉龐上梳著一兩 條小辮子，穿著花俏的孩童裝，造型天真活潑，無憂無慮，是個人見人愛的角色。,1610108
文生,青年男性，文生在許多布袋戲中都扮演著舉足輕重的角色，文生大多屬於正派角色，長得清秀端正，眉細眼亮，神色從容自在，文質彬彬，在戲中，他可能是大至一個國家小至一個家族興盛發達或腐朽敗亡的關鍵人物。,1610211
武生(紅面),青年男性，威武氣勢，忠貞剛烈的武生往往是一齣布袋戲的是武將提刀建太平的最佳表徵。,1610401
花童(白面),十歲以下的幼童，花童是生角中年紀最小的角色，一張童稚的臉龐上梳著一兩 條小辮子，穿著花俏的孩童裝，造型天真活潑，無憂無慮，是個人見人愛的角色。,161a0008
武生,青年男性，威武氣勢，忠貞剛烈的武生往往是一齣布袋戲的靈魂人物，武將身穿戰甲，頭戴盔帽，手持兵刃，顯露出一副當官萬夫莫敵的英姿，這是武將提刀建太平的最佳表徵。例如，水滸傳中的武松與林沖，三國演義中的趙雲都是。,1610311
花童(白面),十歲以下的幼童，花童是生角中年紀最小的角色，一張童稚的臉龐上梳著一兩 條小辮子，穿著花俏的孩童裝，造型天真活潑，無憂無慮，是個人見人愛的角色。,1610106
生 / 鬚文,中年男性，出生書香門第飽讀詩書的鬚文是布袋戲中的幸運角色，飽滿的天庭，兩道柳葉眉，在歷經社會時間的薰陶琢磨，鬚文表現出來的就是一副溫文儒雅，鋒芒內斂的正人君子，例如三國演義中的劉備就是。,166a0008
武生,青年男性，威武氣勢，忠貞剛烈的武生往往是一齣布袋戲的靈魂人物，武將身穿戰甲，頭戴盔帽，手持兵刃，顯露出一副當官萬夫莫敵的英姿，這是武將提刀建太平的最佳表徵。例如，水滸傳中的武松與林沖，三國演義中的趙雲都是。,0007
文生,青年男性，文生在許多布袋戲中都扮演著舉足輕重的角色，文生大多屬於正派角色，長得清秀端正，眉細眼亮，神色從容自在，文質彬彬，在戲中，他可能是大至一個國家小至一個家族興盛發達或腐朽敗亡的關鍵人物。,0008
武生,青年男性，威武氣勢，忠貞剛烈的武生往往是一齣布袋戲的靈魂人物，武將身穿戰甲，頭戴盔帽，手持兵刃，顯露出一副當官萬夫莫敵的英姿，這是武將提刀建太平的最佳表徵。例如，水滸傳中的武松與林沖，三國演義中的趙雲都是。,0016
生 / 金面文,金面文屬特殊角色，與鬚文有相同的個性，但只用在特別的人物，例如唐朝的秦叔寶。,0031
武生,青年男性，威武氣勢，忠貞剛烈的武生往往是一齣布袋戲的靈魂人物，武將身穿戰甲，頭戴盔帽，手持兵刃，顯露出一副當官萬夫莫敵的英姿，這是武將提刀建太平的最佳表徵。例如，水滸傳中的武松與林沖，三國演義中的趙雲都是。,1630401
